FTMD20200318085,IN MY HEART,MM2 FILM DISTRIBUTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),U,20/2/2020
FCPJ20200318117,IK SANDHU HUNDA SI - 2D,TGV PICTURES SDN. BHD.,LULUS BERSIH (LB),P13,20/2/2020
FCTM20200318120,WALTER,MSK FILM PRODUCTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,20/2/2020
FCTM20200318123,VARMAA - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,20/2/2020
FCTM20200318124,DRAUPATHI - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,20/2/2020
FCTM20200318121,KANNUM KANNUM KOLLAIYADITHAAL - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,20/2/2020
FCBM20200318080,POLIS EVO 3,ASTRO SHAW SDN BHD,LULUS BERSIH (LB),P13,21/2/2020
FCBM20200318247,SYIF MALAM RAYA,UNITED STUDIOS SDN BHD,LULUS BERSIH (LB),P13,23/2/2020
FCEN20200317544,TROLLS WORLD TOUR (2D),UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),P13,24/2/2020
FTJP20200318304,HOWLING VILLAGE,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,25/2/2020
FTTH20200318305,PEE NAK 2,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,25/2/2020
FCBM20200318316,CERANA BIDUK BU MERAH ,EMPIRE WAFFI SDN BHD ,LULUS DENGAN PENGUBAHAN (LDP),P13,25/2/2020
FCTM20200318302,COCKTAIL,DMY CREATION SDN. BHD.,LULUS BERSIH (LB),18,25/2/2020
FCHD20200318253,BAAGHI 3,ANTENNA ENTERTAINMENTS SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),18,25/2/2020
FTEN20200318323,CONNECTED (TRL. F) 2D,SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS BERSIH (LB),U,26/2/2020
FTEN20200318334,I STILL BELIEVE - TRL,TGV PICTURES SDN. BHD.,LULUS BERSIH (LB),U,26/2/2020
FTMD20200318365,CRAZE BELOW THE WIND,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,26/2/2020
FTMD20200318382,IN MY HEART,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,26/2/2020
FCTM20200318393,UN KADHAL IRUNTHAL - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,27/2/2020
FTEN20200318407,ANTEBELLUM,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,27/2/2020
